MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
0.007754,0.020338,0.000335,0.086881,0.010821,0.017061,0.078324,0.003532,0.015673,0.085915,0.000508,0.009183,0.085929,0.000503,0.009234,
0.000415,0.019906,0.000171,0.020504,0.002341,0.015362,0.019694,0.002039,0.014442,0.025969,0.000323,0.007313,0.025234,0.000282,0.006760,
0.000409,0.019973,0.000178,0.019923,0.002282,0.014606,0.020191,0.001731,0.014875,0.022799,0.000279,0.006874,0.023400,0.000254,0.006853,
0.000331,0.019784,0.000172,0.019938,0.002013,0.015760,0.020408,0.001731,0.016267,0.023111,0.000248,0.006898,0.021854,0.000272,0.006904,
0.000386,0.019933,0.000167,0.019926,0.001938,0.015116,0.019789,0.001752,0.016131,0.023057,0.000269,0.006776,0.022897,0.000251,0.006818,
0.000338,0.019951,0.000176,0.019639,0.001945,0.015082,0.019871,0.001928,0.014635,0.022766,0.000251,0.006941,0.022158,0.000277,0.007031,
0.000367,0.019934,0.000161,0.019760,0.002282,0.015717,0.019877,0.001743,0.015073,0.022011,0.000272,0.007450,0.022098,0.000255,0.006891,
0.000375,0.019519,0.000185,0.019931,0.001906,0.015031,0.020016,0.001766,0.015529,0.022084,0.000245,0.006964,0.021275,0.000271,0.006854,
0.000329,0.019921,0.000243,0.020156,0.001886,0.015849,0.019953,0.001716,0.016169,0.023124,0.000349,0.006851,0.021719,0.000250,0.006787,
0.000388,0.019197,0.000257,0.019945,0.001850,0.014909,0.019759,0.001877,0.015692,0.021572,0.000251,0.006765,0.021680,0.000265,0.006777,
0.000334,0.019898,0.000173,0.020330,0.002018,0.015436,0.019477,0.001751,0.015586,0.021771,0.000263,0.006918,0.021845,0.000253,0.007282,
0.000330,0.019697,0.000173,0.020392,0.001878,0.015690,0.019790,0.001785,0.015241,0.021785,0.000249,0.006921,0.021619,0.000273,0.007227,
0.000325,0.019325,0.000166,0.020562,0.001854,0.015306,0.019922,0.001731,0.015059,0.021810,0.000260,0.007247,0.022864,0.000253,0.006813,
0.000322,0.026994,0.000169,0.019945,0.001888,0.015937,0.019584,0.001641,0.015635,0.022812,0.000248,0.006951,0.021998,0.000258,0.007068,
0.000482,0.019300,0.000181,0.021153,0.001838,0.015949,0.019990,0.001655,0.015143,0.021446,0.000270,0.006826,0.021144,0.000249,0.007292,
