Performing comparisons between CPU Cuda and Tensor implementation,

Matrixes size,512,512,
Single run computation test,
Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,mean of error (to CPU),deviation of error (to CPU),
MMA CPU,1.173282,51.675941,0.054374,
MMA CUDA,68.823644,0.753733,0.191022,False,0.000000,0.000000,
MMA CUDA Shared,0.705060,0.623017,0.194406,False,0.498043,0.019466,
MMA Tensor,9.290112,0.268321,0.195324,False,0.042410,0.033466,

Multi run computation  test, execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
1.478691,51.217983,0.061234,0.793871,0.695168,0.199637,0.643732,0.599072,0.176431,7.820250,0.177664,0.185305,-1.000000,-1.000000,-1.000000,
0.314601,45.555302,0.057015,0.540224,0.645120,0.189206,0.532352,0.504576,0.186410,7.890565,0.178240,0.167687,-1.000000,-1.000000,-1.000000,
0.297454,50.092796,0.060228,0.486763,0.644736,0.192748,0.538393,0.496224,0.186420,7.670086,0.152832,0.170798,-1.000000,-1.000000,-1.000000,
0.320144,44.678291,0.045844,0.452116,0.647488,0.189860,0.463489,0.504032,0.174499,8.024242,0.181344,0.181281,-1.000000,-1.000000,-1.000000,
0.283011,44.169064,0.048141,0.447869,0.647616,0.192606,0.445572,0.499072,0.170600,7.990227,0.157056,0.168373,-1.000000,-1.000000,-1.000000,
0.264530,44.211323,0.050758,0.447891,0.643200,0.187475,0.445042,0.504768,0.173115,7.905689,0.177120,0.173300,-1.000000,-1.000000,-1.000000,
0.253701,44.461681,0.047030,0.452774,0.647008,0.188148,0.445771,0.514656,0.173781,7.719402,0.177152,0.180450,-1.000000,-1.000000,-1.000000,
0.270413,45.012840,0.048271,0.449604,0.644128,0.195355,0.465477,0.517792,0.171100,7.802400,0.179680,0.167345,-1.000000,-1.000000,-1.000000,
0.276324,44.127800,0.046646,0.478307,0.649632,0.173168,0.444848,0.500512,0.184128,7.681409,0.156096,0.172758,-1.000000,-1.000000,-1.000000,
0.260640,44.447792,0.050756,0.443821,0.649088,0.176744,0.530484,0.505152,0.187069,7.781332,0.180000,0.184332,-1.000000,-1.000000,-1.000000,
0.279121,53.820831,0.057909,0.445683,0.653248,0.185535,0.544370,0.504896,0.188630,7.794678,0.153472,0.176002,-1.000000,-1.000000,-1.000000,
0.306307,46.579029,0.056941,0.478425,0.647264,0.175826,0.531826,0.624096,0.172407,8.062657,0.180128,0.167855,-1.000000,-1.000000,-1.000000,
