Performing comparisons between CPU Cuda and Tensor implementation,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Matrixes size,32,32,,,,,,,,,,,,,,,
Single run computation test,,,,,,,,,,,,,,,,,
Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,mean of error (to CPU),deviation of error (to CPU),,,,,,,,,,,
MMA CPU,0.004177,0.411205,0.000354,,,,,,,,,,,,,,
MMA Tensor,68.240242,0.015621,0.010845,False,1,0,,,,,,,,,,,
MMA CUDA,0.080122,0.030367,0.008654,True,0,0,,,,,,,,,,,
MMA CUDA Shared,0.071819,0.017295,0.007991,False,0,0,,,,,,,,,,,
MMA CUDA Shared Half,0.081242,0.016787,0.008548,False,0.00005,0.000039,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Multi run computation  test, execution count :150,,,,,,,,,,,,,,,,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA CUDA Shared Half Loading,MMA CUDA Shared Half Computing,MMA CUDA Shared Half Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing
0.003393,0.018418,0.000225,0.664989,0.010208,0.025558,0.575433,0.038784,0.024621,0.606023,0.039264,0.025162,0.654183,0.037184,0.025636,-1,-1,-1
0.000358,0.018401,0.000161,0.066625,0.004064,0.014267,0.030709,0.015424,0.012959,0.033578,0.012256,0.013939,0.063614,0.014048,0.013314,-1,-1,-1
0.000354,0.017779,0.000195,0.051094,0.004064,0.012965,0.028677,0.014176,0.013036,0.032218,0.010304,0.012394,0.05336,0.0112,0.012869,-1,-1,-1
0.000289,0.018066,0.000159,0.047521,0.003264,0.012852,0.028565,0.012256,0.012143,0.031928,0.0112,0.012585,0.044708,0.010496,0.012276,-1,-1,-1
0.000357,0.017817,0.000146,0.047188,0.002624,0.013537,0.028528,0.012288,0.012109,0.032386,0.011328,0.012244,0.043815,0.011072,0.012285,-1,-1,-1
