Performing comparisons between CPU Cuda and Tensor implementation,

Matrixes size,2048,2048,
Single run computation test,
Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,mean of error (to CPU),deviation of error (to CPU),
MMA CPU,20.973742,414.047784,12.424736,
MMA CUDA,53.057736,0.024664,50.766428,False,0.000000,0.000000,
MMA CUDA Shared,7.682937,0.021122,36.594653,False,0.749222,0.008453,
MMA Tensor,41.802535,0.017638,14.423198,False,0.021504,0.016412,

Multi run computation  test, execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,
-1.000000,-1.000000,-1.000000,7.305864,0.016839,30.892208,6.430894,0.009035,17.772800,39.171253,0.008029,6.226693,
-1.000000,-1.000000,-1.000000,6.349645,0.015690,31.014732,6.141933,0.006274,17.048832,39.004723,0.008610,6.224419,
-1.000000,-1.000000,-1.000000,6.384254,0.011376,31.541412,6.106144,0.006860,17.025923,38.959335,0.004835,6.210713,
-1.000000,-1.000000,-1.000000,6.281158,0.008958,31.507343,6.113982,0.005739,17.730841,39.058914,0.009621,6.236893,
-1.000000,-1.000000,-1.000000,6.587268,0.025767,29.797367,6.179461,0.007624,17.027088,39.588821,0.009148,6.433459,
-1.000000,-1.000000,-1.000000,6.304658,0.010915,27.929527,6.218851,0.005171,18.083418,39.968529,0.014537,6.264562,
-1.000000,-1.000000,-1.000000,6.338878,0.012390,27.407991,6.168711,0.006054,16.969658,39.310520,0.008524,6.222218,
-1.000000,-1.000000,-1.000000,6.339968,0.012519,26.853792,6.113526,0.004805,16.981031,39.176682,0.008876,6.622907,
-1.000000,-1.000000,-1.000000,6.247250,0.011031,28.030746,6.148927,0.007518,16.984720,39.003471,0.010668,6.252366,
-1.000000,-1.000000,-1.000000,6.963116,0.013419,27.740833,6.086987,0.007017,17.831066,39.035099,0.007744,6.218470,
