Performing comparisons between CPU Cuda and Tensor implementation,

Matrixes size,32,32,
Single run computation test,
Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,mean of error (to CPU),deviation of error (to CPU),
MMA CPU,0.017043,5.083304,0.000575,
MMA CUDA,44.439541,0.014442,0.017574,True,0,0,
MMA CUDA Shared,0.089187,0.005161,0.011034,False,0.000000,0.000000,
MMA Tensor,0.091519,0.000855,0.008431,False,1.000000,0.000000,

Multi run computation  test, execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,
0.004787,0.020014,0.000424,0.077566,0.004143,0.016109,0.076641,0.003109,0.017120,0.082580,0.000562,0.009571,
0.000469,0.019728,0.000182,0.020913,0.002123,0.015765,0.020785,0.002083,0.015395,0.025159,0.000293,0.007087,
0.000410,0.019458,0.000177,0.020714,0.002055,0.015474,0.020710,0.001803,0.015376,0.023895,0.000260,0.006984,
0.000415,0.019285,0.000163,0.021233,0.001789,0.015800,0.020051,0.001816,0.015905,0.023022,0.000281,0.006964,
0.000395,0.019464,0.000162,0.020089,0.001763,0.017073,0.020693,0.001819,0.015284,0.022077,0.000271,0.006967,
0.000412,0.019508,0.000175,0.020368,0.001791,0.016217,0.020490,0.001959,0.015384,0.022409,0.000260,0.006911,
0.000379,0.019392,0.000170,0.020217,0.001946,0.015673,0.020045,0.001717,0.016066,0.022472,0.000262,0.007009,
0.000398,0.019773,0.000155,0.020452,0.001747,0.015499,0.020403,0.001812,0.015680,0.022044,0.000258,0.007095,
0.000397,0.019928,0.000162,0.020198,0.001746,0.015911,0.020781,0.001745,0.015709,0.022954,0.000257,0.007020,
0.000401,0.019395,0.000190,0.021342,0.001749,0.015779,0.020299,0.001947,0.016662,0.023020,0.000263,0.006995,
0.000388,0.019459,0.000190,0.020113,0.001960,0.015839,0.019898,0.001742,0.015658,0.022518,0.000262,0.006963,
0.000396,0.019500,0.000162,0.020645,0.001740,0.015384,0.023767,0.001819,0.015416,0.022011,0.000265,0.006925,
0.000394,0.019421,0.000174,0.020010,0.001751,0.016579,0.019979,0.001729,0.016054,0.023254,0.000256,0.007377,
0.000391,0.019372,0.000196,0.020715,0.001722,0.016404,0.020181,0.001923,0.015672,0.022834,0.000258,0.006939,
0.000364,0.019374,0.000167,0.020054,0.001891,0.015293,0.020376,0.001722,0.015718,0.022134,0.000266,0.007034,
0.000395,0.019559,0.000131,0.020959,0.001744,0.016192,0.020548,0.001718,0.015577,0.022144,0.000261,0.007782,
0.000466,0.019489,0.000179,0.020449,0.001846,0.015557,0.019737,0.001771,0.015335,0.023014,0.000244,0.007896,
0.000397,0.019566,0.000152,0.020105,0.001931,0.015700,0.020677,0.001726,0.015703,0.022413,0.000269,0.006805,
0.000398,0.019635,0.000218,0.020514,0.001760,0.015621,0.020029,0.001702,0.015816,0.021876,0.000266,0.007046,
0.000397,0.019415,0.000145,0.020595,0.001760,0.015468,0.020176,0.001758,0.015832,0.022139,0.000249,0.007372,
0.000417,0.019450,0.000182,0.020819,0.001765,0.016283,0.020432,0.001901,0.015484,0.023190,0.000263,0.007084,
0.000392,0.019483,0.000229,0.019965,0.001954,0.016208,0.020204,0.001739,0.015949,0.023167,0.000243,0.006855,
0.000397,0.019564,0.000212,0.020092,0.001775,0.015667,0.020247,0.001727,0.015789,0.022335,0.000250,0.007690,
0.000397,0.019598,0.000152,0.019969,0.001729,0.016147,0.020640,0.001761,0.015990,0.022515,0.000355,0.007005,
0.000402,0.019633,0.000155,0.020282,0.001791,0.015720,0.020055,0.001905,0.015289,0.022650,0.000246,0.007637,
0.000421,0.019443,0.000183,0.020864,0.001948,0.016109,0.020428,0.001689,0.015736,0.023755,0.000245,0.007157,
0.000391,0.019285,0.000185,0.020140,0.001783,0.015871,0.019853,0.001747,0.015247,0.021841,0.000260,0.007036,
0.000396,0.019464,0.000155,0.020230,0.001761,0.015775,0.019902,0.001743,0.015121,0.022602,0.000262,0.007470,
0.000393,0.019459,0.000161,0.020933,0.001726,0.016233,0.020747,0.001958,0.015171,0.022035,0.000259,0.006900,
0.000424,0.019433,0.000158,0.020527,0.001933,0.015370,0.019878,0.001744,0.015108,0.022952,0.000269,0.006985,
0.000393,0.019378,0.000198,0.020237,0.001751,0.015901,0.020648,0.001743,0.015437,0.022985,0.000271,0.007042,
0.000397,0.019316,0.000160,0.019975,0.001786,0.015982,0.020454,0.001691,0.015697,0.022444,0.000261,0.007565,
0.000395,0.019350,0.000159,0.020157,0.001745,0.015959,0.019956,0.001903,0.015009,0.022279,0.000243,0.007006,
0.000399,0.019542,0.000154,0.020567,0.001786,0.015529,0.020771,0.001715,0.015440,0.022757,0.000269,0.007025,
0.000391,0.019472,0.000201,0.020127,0.001779,0.015848,0.020206,0.001726,0.015734,0.022053,0.000259,0.006903,
0.000368,0.019335,0.000189,0.020603,0.001758,0.015953,0.020231,0.001726,0.015856,0.022425,0.000262,0.007726,
0.000390,0.019557,0.000150,0.020527,0.001965,0.016357,0.020290,0.001746,0.015806,0.022928,0.000257,0.007636,
0.000396,0.019343,0.000163,0.020661,0.001758,0.016055,0.020891,0.001738,0.015179,0.022470,0.000257,0.006873,
0.000398,0.019548,0.000152,0.020307,0.001757,0.015644,0.020380,0.001765,0.015710,0.021926,0.000263,0.006942,
0.000411,0.019501,0.000156,0.020193,0.001735,0.015941,0.020722,0.001903,0.015753,0.021812,0.000258,0.007061,
0.000408,0.019294,0.000156,0.020568,0.001933,0.015261,0.020641,0.001762,0.016441,0.023069,0.000260,0.007094,
0.000392,0.019493,0.000154,0.020295,0.001771,0.015750,0.020113,0.001742,0.015393,0.022875,0.000259,0.006863,
0.000398,0.019399,0.000154,0.019963,0.001766,0.015154,0.019809,0.001724,0.015285,0.022618,0.000259,0.006924,
0.000382,0.019417,0.000184,0.020844,0.001726,0.016274,0.020263,0.001943,0.015660,0.022330,0.000260,0.007067,
0.000391,0.019476,0.000159,0.019931,0.001925,0.016452,0.020033,0.001714,0.016056,0.022404,0.000258,0.007591,
0.000398,0.019361,0.000194,0.020729,0.001730,0.016388,0.020195,0.001759,0.015889,0.022041,0.000256,0.006908,
0.000411,0.019247,0.000151,0.019994,0.001706,0.015597,0.020647,0.001755,0.015544,0.022830,0.000281,0.007041,
0.000388,0.019595,0.000174,0.020216,0.001739,0.015899,0.019899,0.001930,0.015899,0.022692,0.000273,0.007639,
0.000404,0.019432,0.000171,0.020330,0.001898,0.015674,0.020488,0.001748,0.015576,0.022391,0.000261,0.007184,
0.000395,0.031943,0.000167,0.020975,0.001705,0.016048,0.021171,0.001763,0.015888,0.022745,0.000245,0.007423,

Multi run computation test (with deallocation), execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,
0.006612,0.019127,0.000200,0.084022,0.004177,0.017279,0.072262,0.003117,0.017553,0.069079,0.000491,0.008527,
0.003284,0.018677,0.000157,0.074497,0.003349,0.016918,0.072546,0.003095,0.016799,0.068491,0.000439,0.008496,
0.000908,0.018335,0.000149,0.072093,0.003308,0.017274,0.071906,0.003141,0.017432,0.068756,0.000453,0.008491,
0.000800,0.018309,0.000147,0.074424,0.003276,0.016601,0.071617,0.003115,0.017215,0.066371,0.000441,0.008413,
0.000874,0.018079,0.000125,0.071985,0.003101,0.017565,0.072505,0.003118,0.016270,0.066406,0.000441,0.008606,
0.000873,0.018303,0.000153,0.072316,0.003346,0.017403,0.071544,0.003179,0.016718,0.066415,0.000449,0.008358,
0.000835,0.022077,0.000129,0.072432,0.003173,0.016700,0.071292,0.003202,0.017072,0.078742,0.000470,0.008460,
0.000837,0.018140,0.000152,0.073698,0.003298,0.016544,0.071345,0.003109,0.017218,0.065882,0.000445,0.008647,
0.000808,0.018253,0.000149,0.072620,0.003154,0.017462,0.073526,0.003106,0.016528,0.065094,0.000434,0.009198,
0.000830,0.018242,0.000143,0.813356,0.004488,0.018784,0.071407,0.003241,0.016564,0.098823,0.000462,0.008379,
0.000811,0.017938,0.000150,0.229977,0.003573,0.018695,0.071701,0.003137,0.017254,0.065563,0.000440,0.008550,
0.000820,0.018153,0.000224,0.073121,0.003216,0.018680,0.072204,0.003128,0.016709,0.065176,0.000426,0.008848,
0.000798,0.018076,0.000143,0.518018,0.003659,0.016691,0.071785,0.003106,0.016403,0.065211,0.000433,0.008423,
0.000816,0.018089,0.000192,0.115676,0.003755,0.016475,0.071785,0.003059,0.017150,0.064817,0.000424,0.009280,
0.000800,0.018061,0.000138,0.075202,0.003295,0.017288,0.072468,0.003049,0.016745,0.065176,0.000428,0.008662,
0.000799,0.018075,0.000137,0.074154,0.003143,0.017330,0.071552,0.003150,0.017021,0.064424,0.000428,0.009203,
0.000817,0.018084,0.000149,0.072118,0.003061,0.017921,0.071511,0.003139,0.017198,0.064635,0.000427,0.008946,
0.000812,0.017764,0.000149,0.074355,0.003463,0.016819,0.071486,0.003136,0.010382,0.064608,0.000428,0.009143,
