Performing comparisons between CPU Cuda and Tensor implementation,

Matrixes size,512,512,
Single run computation test,
Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,mean of error (to CPU),deviation of error (to CPU),
MMA CPU,1.382487,18.392431,1.020625,
MMA CUDA,44.323679,0.015931,1.172366,False,0.000000,0.000000,
MMA CUDA Shared,0.797958,0.007469,1.730867,False,0.000000,0.000000,
MMA Tensor,2.912816,0.007035,1.172926,False,0.042410,0.033466,

Multi run computation  test, execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,
1.039503,7.047801,0.059772,0.677324,0.015811,0.949113,0.603809,0.004992,0.858675,2.708539,0.007262,0.473617,
0.238303,6.589985,0.044843,0.473439,0.004016,0.919299,0.458496,0.002360,0.864100,2.557963,0.003378,0.422802,
0.240971,6.570771,0.044987,0.482757,0.006530,0.922904,0.473798,0.002627,1.015777,2.527955,0.003726,0.416345,
0.228452,6.725636,0.046991,0.498589,0.007129,1.137118,0.465834,0.002198,0.879834,2.496472,0.003296,0.412865,
0.244050,6.627905,0.044099,0.479344,0.004836,1.102109,0.454138,0.002469,0.877677,2.492728,0.002417,0.408824,
0.238602,18.650511,0.062255,0.485854,0.003047,0.949713,0.475290,0.004020,0.860856,2.512734,0.002687,0.424597,
0.326875,8.910345,0.056112,0.468772,0.003269,0.923533,0.452198,0.003101,0.867493,2.605850,0.002342,0.436024,
0.308911,6.129574,0.044913,0.457112,0.003295,0.918517,0.449279,0.002097,0.874990,2.537756,0.002296,0.398763,
0.267354,6.243951,0.050983,0.480089,0.006133,0.917712,0.463277,0.002567,0.856660,2.542077,0.002319,0.357119,
0.250563,5.943746,0.047642,0.494199,0.006331,0.896867,0.448843,0.002120,0.856594,2.508592,0.002798,0.367077,
0.233862,5.910879,0.053276,0.472293,0.004400,0.907189,0.448812,0.002651,0.860198,2.549791,0.002586,0.353692,
0.229609,5.913499,0.046210,0.456228,0.002286,0.920559,0.462128,0.004921,0.856455,2.512324,0.002478,0.361358,
0.228756,5.919466,0.045272,0.451402,0.002647,0.901321,0.448462,0.002311,0.879313,2.540752,0.002051,0.355369,
0.226141,5.914981,0.044112,0.446319,0.002675,0.933033,0.457636,0.003787,0.863308,2.516580,0.002015,0.355098,
0.223274,5.900819,0.043919,0.485460,0.004662,0.914086,0.473929,0.002219,0.983358,2.504504,0.002385,0.357023,
0.225235,6.532930,0.046833,0.527957,0.004773,0.928300,0.450353,0.002037,0.861534,2.513192,0.003632,0.367289,
0.237366,6.450357,0.045439,0.503580,0.002309,0.937420,0.449398,0.002027,0.876025,2.547834,0.005943,0.357363,
0.259254,7.475729,0.043412,0.458208,0.002326,0.908098,0.463768,0.004428,0.860002,2.614907,0.004225,0.373290,
0.287915,25.338257,0.061618,0.454219,0.002471,0.906495,0.451010,0.002841,0.870763,2.630979,0.005869,0.374952,
0.332003,6.867419,0.046261,0.447936,0.001975,0.905082,0.452569,0.002404,0.884384,2.614176,0.005185,0.371758,
0.294906,9.280380,0.054796,0.467705,0.002060,0.901412,0.464000,0.002492,0.860874,2.604756,0.005347,0.364785,
