32MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA CUDA Shared Half Loading,MMA CUDA Shared Half Computing,MMA CUDA Shared Half Outputing,MMA CUDA Shared 16 Tile Loading,MMA CUDA Shared 16 Tile Computing,MMA CUDA Shared 16 Tile Outputing,MMA CUDA Shared Halfs 32 Tile Loading,MMA CUDA Shared Halfs 32 Tile Computing,MMA CUDA Shared Halfs 32 Tile Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
0.001339,0.018639,0.000239,0.634101,0.008800,0.024473,0.495619,0.039040,0.024487,0.637443,0.035936,0.024749,0.643656,0.009696,0.024935,0.490877,0.036256,0.024433,0.638757,0.034848,0.024678,-1.000000,-1.000000,-1.000000,
0.000378,0.018534,0.000180,0.068212,0.004000,0.014316,0.033821,0.016256,0.014367,0.029820,0.013792,0.013164,0.076882,0.005152,0.013910,0.030178,0.010112,0.013933,0.065811,0.012800,0.013788,-1.000000,-1.000000,-1.000000,
0.000397,0.018290,0.000132,0.054635,0.002304,0.012828,0.032891,0.013728,0.012380,0.029318,0.012288,0.012228,0.052690,0.003808,0.012579,0.029090,0.009952,0.012459,0.063484,0.011680,0.012880,-1.000000,-1.000000,-1.000000,
0.000404,0.018050,0.000124,0.073429,0.002816,0.013377,0.032030,0.013504,0.012908,0.027890,0.011968,0.012745,0.047425,0.003072,0.012611,0.029286,0.008800,0.014742,0.044497,0.011840,0.012323,-1.000000,-1.000000,-1.000000,
0.000426,0.018342,0.000128,0.048071,0.003936,0.013189,0.031505,0.014528,0.012618,0.028063,0.011072,0.012089,0.045162,0.005120,0.012678,0.031048,0.009344,0.012527,0.044165,0.012000,0.012221,-1.000000,-1.000000,-1.000000,
0.000407,0.018103,0.000151,0.047091,0.002976,0.013032,0.031422,0.012288,0.012312,0.028342,0.010240,0.012183,0.048844,0.004096,0.012485,0.027945,0.008160,0.012113,0.041658,0.011456,0.013022,-1.000000,-1.000000,-1.000000,
0.000395,0.018347,0.000129,0.045647,0.003008,0.012966,0.031880,0.012416,0.012082,0.027738,0.011040,0.012650,0.044591,0.003808,0.012873,0.028247,0.009568,0.013166,0.047689,0.010464,0.013477,-1.000000,-1.000000,-1.000000,
0.000395,0.017944,0.000151,0.045745,0.002464,0.013289,0.031606,0.014304,0.012715,0.031016,0.010240,0.011899,0.044226,0.004064,0.012743,0.027998,0.010240,0.012133,0.042509,0.010496,0.012486,-1.000000,-1.000000,-1.000000,
0.000372,0.018256,0.000124,0.045447,0.004032,0.012903,0.031276,0.013408,0.012657,0.027799,0.010528,0.012248,0.044838,0.003488,0.012634,0.028412,0.008320,0.012256,0.041952,0.010400,0.012259,-1.000000,-1.000000,-1.000000,
0.000383,0.017889,0.000145,0.045841,0.002816,0.012870,0.031646,0.012256,0.012289,0.027971,0.011584,0.012447,0.050486,0.004096,0.013051,0.028491,0.008512,0.012104,0.047004,0.010240,0.013218,-1.000000,-1.000000,-1.000000,
0.000385,0.018049,0.000120,0.044905,0.003648,0.012911,0.030583,0.012480,0.012070,0.028708,0.011392,0.011944,0.068769,0.003552,0.013103,0.028772,0.008960,0.012965,0.042405,0.011488,0.012946,-1.000000,-1.000000,-1.000000,
0.000370,0.018066,0.000126,0.074697,0.003040,0.012919,0.032032,0.013024,0.012641,0.027941,0.010784,0.011916,0.043330,0.003296,0.012403,0.028398,0.008192,0.012047,0.043967,0.011360,0.012276,-1.000000,-1.000000,-1.000000,
0.000378,0.017845,0.000125,0.045813,0.002400,0.012840,0.031282,0.012288,0.012092,0.029721,0.010240,0.012097,0.048258,0.003520,0.012972,0.029413,0.008352,0.012254,0.046945,0.011616,0.012306,-1.000000,-1.000000,-1.000000,
0.000378,0.018122,0.000127,0.045532,0.002432,0.012463,0.030939,0.012416,0.012733,0.028090,0.010400,0.012466,0.044360,0.003872,0.013154,0.028687,0.008064,0.012673,0.042917,0.011968,0.012709,-1.000000,-1.000000,-1.000000,
0.000409,0.017777,0.000173,0.050457,0.003744,0.012942,0.031615,0.013184,0.012694,0.030183,0.010240,0.012342,0.044646,0.002912,0.012397,0.028394,0.008192,0.012053,0.041219,0.010560,0.012835,-1.000000,-1.000000,-1.000000,
0.000379,0.017994,0.000196,0.044940,0.003520,0.013314,0.031907,0.012256,0.012291,0.028064,0.010592,0.012077,0.048180,0.002208,0.013148,0.029072,0.008448,0.012071,0.041966,0.010528,0.012316,-1.000000,-1.000000,-1.000000,
0.000380,0.018001,0.000152,0.044452,0.004096,0.012993,0.031009,0.013600,0.012588,0.027858,0.010240,0.012566,0.044148,0.003520,0.013042,0.028680,0.008192,0.013261,0.045967,0.010880,0.013496,-1.000000,-1.000000,-1.000000,
0.000399,0.017952,0.000154,0.044922,0.003776,0.012487,0.030952,0.012576,0.011995,0.029564,0.010752,0.012024,0.044306,0.004096,0.012740,0.028365,0.008192,0.012464,0.040929,0.010336,0.012838,-1.000000,-1.000000,-1.000000,
0.000376,0.017905,0.000128,0.048807,0.002816,0.012541,0.031929,0.012608,0.012671,0.029543,0.010240,0.012749,0.046139,0.004096,0.012481,0.028855,0.008192,0.012032,0.042703,0.011200,0.012440,-1.000000,-1.000000,-1.000000,
0.000382,0.017830,0.000158,0.046246,0.003072,0.012860,0.031263,0.013632,0.011941,0.028250,0.010656,0.012921,0.048091,0.004064,0.012573,0.028964,0.008544,0.013122,0.053356,0.010304,0.012528,-1.000000,-1.000000,-1.000000,
0.000383,0.018235,0.000132,0.044566,0.003424,0.012941,0.031944,0.012480,0.013114,0.029817,0.010592,0.012261,0.043454,0.004064,0.013130,0.029339,0.008224,0.012743,0.043172,0.011488,0.012325,-1.000000,-1.000000,-1.000000,
0.000379,0.017903,0.000130,0.049350,0.004096,0.013705,0.031557,0.013728,0.013261,0.028402,0.010464,0.012289,0.045173,0.003488,0.012367,0.027818,0.008256,0.012033,0.042805,0.011680,0.012860,-1.000000,-1.000000,-1.000000,
0.000384,0.018100,0.000136,0.045500,0.002688,0.012950,0.031413,0.012288,0.012386,0.028239,0.010240,0.012192,0.049329,0.004096,0.012572,0.028694,0.009440,0.012349,0.046348,0.011744,0.013239,-1.000000,-1.000000,-1.000000,
0.000376,0.017994,0.000137,0.045367,0.003104,0.012793,0.031100,0.012288,0.012109,0.028042,0.011968,0.012451,0.044775,0.002336,0.012479,0.028509,0.008192,0.012540,0.042150,0.011104,0.012660,-1.000000,-1.000000,-1.000000,
0.000375,0.018049,0.000124,0.048862,0.003392,0.013045,0.030912,0.012288,0.012763,0.028359,0.012032,0.012331,0.044593,0.002752,0.012383,0.029324,0.009504,0.012143,0.042697,0.010784,0.012860,-1.000000,-1.000000,-1.000000,
0.000382,0.023521,0.000154,0.044557,0.003968,0.012471,0.031429,0.012800,0.012189,0.028840,0.010688,0.012375,0.048460,0.002528,0.012485,0.027781,0.008416,0.012690,0.046225,0.010880,0.012495,-1.000000,-1.000000,-1.000000,
0.000375,0.018237,0.000131,0.045808,0.003232,0.013019,0.033804,0.012608,0.012447,0.029013,0.010656,0.012346,0.043733,0.002592,0.012709,0.028951,0.008192,0.012852,0.042582,0.010528,0.012286,-1.000000,-1.000000,-1.000000,
0.000381,0.018069,0.000205,0.049194,0.002880,0.013122,0.030912,0.012544,0.012589,0.028885,0.010784,0.012009,0.044901,0.003968,0.012542,0.028163,0.008512,0.012033,0.044297,0.010976,0.012056,-1.000000,-1.000000,-1.000000,
0.000377,0.018162,0.000123,0.044940,0.003680,0.013119,0.031966,0.012800,0.012218,0.028441,0.011840,0.012167,0.044644,0.004064,0.012434,0.030176,0.009408,0.012161,0.042997,0.010656,0.012286,-1.000000,-1.000000,-1.000000,
0.000390,0.018187,0.000174,0.044678,0.002976,0.012950,0.031273,0.012288,0.013278,0.028215,0.010240,0.012470,0.048061,0.004000,0.012684,0.028152,0.008352,0.013160,0.046416,0.010592,0.012724,-1.000000,-1.000000,-1.000000,
0.000349,0.018099,0.000123,0.045994,0.002624,0.012893,0.030546,0.012288,0.013047,0.029330,0.011424,0.012605,0.045109,0.003936,0.012686,0.028598,0.008192,0.012196,0.042195,0.010496,0.012492,-1.000000,-1.000000,-1.000000,
0.000382,0.017976,0.000172,0.048658,0.003936,0.013141,0.031630,0.013760,0.012672,0.028992,0.010656,0.012004,0.044707,0.003008,0.012508,0.029053,0.008256,0.012239,0.043086,0.010400,0.012300,-1.000000,-1.000000,-1.000000,
