Performing comparisons between CPU Cuda and Tensor implementation,

Matrixes size,32,32,
Single run computation test,
Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,mean of error (to CPU),deviation of error (to CPU),
MMA CPU,0.004119,3.063215,0.000520,
MMA CUDA,46.865418,0.014236,0.017622,True,0,0,
MMA CUDA Shared,0.084268,0.004617,0.010595,False,0.475671,0.080881,
MMA Tensor,0.086685,0.000712,0.009522,False,1.000000,0.000000,

Multi run computation  test, execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,
0.006026,0.018356,0.000880,0.084064,0.004296,0.017810,0.076841,0.003359,0.010418,0.081865,0.000595,0.009408,
0.000374,0.017967,0.000148,0.020752,0.002063,0.015416,0.019671,0.001985,0.015819,0.023371,0.000259,0.007164,
0.000322,0.017801,0.000140,0.020264,0.001868,0.015671,0.020056,0.001704,0.016136,0.021455,0.000269,0.007006,
0.000355,0.017723,0.000150,0.020930,0.001812,0.016164,0.019873,0.001736,0.016229,0.022249,0.000261,0.006979,
0.000316,0.017699,0.000178,0.020238,0.001785,0.016268,0.020959,0.001731,0.016090,0.021459,0.000263,0.007446,
0.000343,0.017998,0.000144,0.020808,0.001963,0.016124,0.021146,0.001698,0.016018,0.021061,0.000258,0.007067,
0.000348,0.017645,0.000138,0.020655,0.001689,0.016455,0.021292,0.001709,0.015777,0.021647,0.000243,0.006897,
0.000286,0.017649,0.000150,0.020033,0.001762,0.015516,0.019970,0.001729,0.016186,0.021072,0.000268,0.007221,
0.000298,0.017804,0.000159,0.020113,0.001737,0.016058,0.020782,0.001940,0.015074,0.021071,0.000263,0.007722,
0.000357,0.017697,0.000141,0.020569,0.001913,0.015263,0.020071,0.001702,0.016295,0.021431,0.000260,0.006955,
0.000277,0.017816,0.000160,0.020252,0.001730,0.015813,0.019900,0.001709,0.015973,0.021420,0.000258,0.006965,
0.000333,0.017771,0.000146,0.020569,0.001768,0.015499,0.020006,0.001707,0.016144,0.021445,0.000256,0.007010,
0.000368,0.017746,0.000146,0.020049,0.001772,0.016156,0.020143,0.001948,0.015694,0.021564,0.000258,0.006870,
0.000341,0.017623,0.000147,0.020973,0.001837,0.016020,0.020992,0.001745,0.015141,0.021240,0.000258,0.006983,
0.000354,0.017732,0.000135,0.020035,0.001781,0.016420,0.020195,0.001692,0.015884,0.021306,0.000255,0.007091,
0.000328,0.017518,0.000151,0.020830,0.001755,0.016234,0.020924,0.001733,0.015756,0.021461,0.000255,0.006933,
0.000344,0.017811,0.000140,0.020326,0.001808,0.016185,0.020705,0.001899,0.015722,0.021043,0.000255,0.007062,
0.000374,0.017719,0.000176,0.020151,0.001892,0.015896,0.020760,0.001751,0.015257,0.021428,0.000253,0.007056,
0.000281,0.017796,0.000135,0.020616,0.001738,0.015505,0.020128,0.001703,0.016060,0.021401,0.000256,0.007167,
0.000359,0.017722,0.000140,0.020173,0.001656,0.015954,0.020782,0.001703,0.015310,0.021574,0.000258,0.006841,
0.000364,0.017695,0.000138,0.020507,0.001703,0.015608,0.020623,0.001673,0.015524,0.021088,0.000256,0.006966,
0.000341,0.017661,0.000142,0.020679,0.001723,0.015401,0.020998,0.001715,0.015078,0.021542,0.000260,0.007549,
0.000369,0.017669,0.000149,0.020656,0.001734,0.015622,0.636189,0.001701,0.254993,0.021282,0.000258,0.006867,
0.000309,0.017588,0.000149,0.020364,0.001738,0.015532,0.018731,0.001904,0.008066,0.021080,0.000256,0.007004,
0.000332,0.017631,0.000149,0.020496,0.001906,0.015500,0.017772,0.001681,0.008394,0.021478,0.000259,0.007311,
