Performing comparisons between CPU Cuda and Tensor implementation,

Matrixes size,2048,2048,
Single run computation test,
Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,error mean (to CPU),error deviation (to CPU),
MMA CPU,20.458700,421.345553,12.751196,
MMA CUDA,46.341059,0.020713,51.021236,False,0.000249,0.000399,
MMA CUDA Shared,7.539091,0.017967,50.465132,False,0.000249,0.000400,
MMA Tensor,41.402158,0.012226,11.792808,False,11.019154,17.697787,
MMA Tensor Shared,42.852517,0.027289,9.755285,False,502.071072,39.831405,

Multi run computation  test, execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
-1.000000,-1.000000,-1.000000,6.808639,0.017538,33.634804,6.604088,0.010703,26.243757,39.536346,0.013571,6.698745,40.902653,0.019691,6.909352,
-1.000000,-1.000000,-1.000000,6.330437,0.013580,34.421535,6.195487,0.009228,37.722725,41.196995,0.014143,6.927566,40.664902,0.013940,6.264836,
-1.000000,-1.000000,-1.000000,6.445289,0.013915,32.872864,6.796101,0.009749,24.132156,39.638596,0.011089,6.506931,41.176857,0.012286,6.504936,
-1.000000,-1.000000,-1.000000,6.345592,0.017466,28.188396,6.271176,0.011493,23.594208,39.398766,0.007711,6.126806,40.616833,0.008872,6.201110,
-1.000000,-1.000000,-1.000000,6.342868,0.013729,28.591911,6.509925,0.011189,25.487511,39.001701,0.005410,6.119194,40.282452,0.013642,6.675929,
-1.000000,-1.000000,-1.000000,6.617317,0.016172,28.562204,6.682293,0.014469,24.168941,39.149010,0.004457,6.230758,40.297512,0.011049,6.467850,
-1.000000,-1.000000,-1.000000,6.529756,0.010743,27.742311,6.460797,0.012784,25.048180,39.407692,0.012728,6.219926,40.151726,0.009296,6.550133,
-1.000000,-1.000000,-1.000000,6.418708,0.011165,27.503071,6.453441,0.009319,25.598198,39.817650,0.014294,6.180208,40.699066,0.010256,6.602367,
-1.000000,-1.000000,-1.000000,6.471239,0.015675,26.836834,6.844841,0.008144,25.341080,39.132648,0.008092,6.177828,40.256153,0.008880,6.585354,
-1.000000,-1.000000,-1.000000,6.472229,0.015128,27.647263,7.036180,0.010036,25.352373,39.203716,0.008752,6.194806,40.775734,0.011433,6.750743,
-1.000000,-1.000000,-1.000000,6.415471,0.011609,27.818689,6.927315,0.010862,24.750050,39.073753,0.007693,6.206756,40.284065,0.010641,6.864937,
-1.000000,-1.000000,-1.000000,6.518602,0.014600,26.652880,6.937962,0.010904,25.403130,38.955353,0.008508,6.198979,40.442291,0.008097,7.228726,
-1.000000,-1.000000,-1.000000,6.448218,0.014221,27.679379,6.480181,0.010162,24.475344,39.015713,0.009748,6.185815,40.694729,0.009682,7.244460,
-1.000000,-1.000000,-1.000000,6.416422,0.013387,27.881836,6.440692,0.009222,24.413271,38.978439,0.009804,6.180865,40.742580,0.007857,6.721399,
-1.000000,-1.000000,-1.000000,6.334636,0.015849,26.582937,6.480649,0.008425,25.029320,38.921394,0.008140,6.183969,40.738045,0.009099,6.682730,
-1.000000,-1.000000,-1.000000,6.277600,0.009257,27.882761,6.469897,0.009730,24.144453,38.930820,0.008508,6.111026,40.851559,0.012896,6.794842,
-1.000000,-1.000000,-1.000000,6.282015,0.014503,28.282883,6.354046,0.008496,25.181482,38.985912,0.007313,6.186619,40.050495,0.011971,6.291879,
-1.000000,-1.000000,-1.000000,6.220778,0.013651,26.895006,6.632425,0.011737,26.280077,38.925568,0.007577,6.192525,42.110748,0.017560,6.540510,
-1.000000,-1.000000,-1.000000,6.241635,0.012755,28.013655,6.572801,0.009751,26.224361,38.985603,0.009246,6.109029,41.892162,0.012014,6.315499,
-1.000000,-1.000000,-1.000000,6.213162,0.011317,28.064098,6.383930,0.010333,24.868349,39.083549,0.010555,6.202341,40.878368,0.008843,7.819523,
-1.000000,-1.000000,-1.000000,6.298990,0.009033,24.979086,6.512017,0.009686,25.919847,38.898922,0.008874,6.188260,41.331562,0.008820,7.548297,
-1.000000,-1.000000,-1.000000,6.236668,0.005362,26.582859,6.318959,0.011341,24.766109,39.499069,0.007647,6.169180,41.327427,0.014000,7.003041,
-1.000000,-1.000000,-1.000000,6.286335,0.016018,27.180368,6.251859,0.007373,24.042152,39.636238,0.015333,6.138484,41.405518,0.016661,6.735915,
-1.000000,-1.000000,-1.000000,6.456834,0.014311,27.146946,6.322646,0.008912,25.852549,39.507378,0.008888,6.220094,45.367188,0.018895,8.267470,
-1.000000,-1.000000,-1.000000,6.403979,0.010759,27.918707,6.529406,0.011810,23.949226,38.967201,0.006452,6.112323,41.195992,0.015035,7.146807,
-1.000000,-1.000000,-1.000000,6.254765,0.008039,28.398066,6.354703,0.005742,25.258528,38.960938,0.007217,6.182615,40.869923,0.011546,6.644161,
-1.000000,-1.000000,-1.000000,6.443194,0.014360,27.020994,7.004879,0.010741,25.204292,39.166420,0.005950,6.201402,40.347321,0.011306,7.218495,
-1.000000,-1.000000,-1.000000,6.367805,0.008823,28.651430,6.751407,0.008677,26.265718,39.352482,0.006436,6.242878,40.437084,0.012119,7.603158,
-1.000000,-1.000000,-1.000000,6.560995,0.007847,29.005102,7.735031,0.012744,25.846275,39.328938,0.012581,6.185259,41.007187,0.013913,7.142144,
-1.000000,-1.000000,-1.000000,6.716301,0.011673,27.527508,7.066756,0.016179,25.716534,39.917938,0.013800,6.221624,40.319218,0.009411,6.846901,
-1.000000,-1.000000,-1.000000,6.701451,0.009495,28.345671,6.765909,0.010906,26.451040,40.022476,0.016448,6.320867,40.516499,0.012722,8.377391,
-1.000000,-1.000000,-1.000000,6.618665,0.008726,28.470154,6.767925,0.008590,25.572433,39.620605,0.010956,6.136328,41.234699,0.017313,7.802157,
-1.000000,-1.000000,-1.000000,6.285889,0.009434,27.674002,6.565826,0.011387,25.788359,39.279125,0.005752,6.201545,41.779778,0.015109,8.455206,
-1.000000,-1.000000,-1.000000,6.502756,0.014395,26.809042,6.721661,0.009804,26.755262,39.172337,0.006409,6.186148,41.095474,0.026923,7.861497,
-1.000000,-1.000000,-1.000000,6.598446,0.020164,27.987419,6.540936,0.008839,24.759659,39.130463,0.005049,6.118171,41.425224,0.010336,8.476291,
-1.000000,-1.000000,-1.000000,6.562488,0.013119,27.622030,6.574157,0.007656,25.097878,39.520817,0.012032,7.424877,40.579693,0.009431,7.271107,
-1.000000,-1.000000,-1.000000,6.790657,0.015376,26.628988,6.464992,0.007831,25.891800,39.408913,0.008814,6.200609,41.462498,0.013015,7.210959,
-1.000000,-1.000000,-1.000000,6.608645,0.011515,27.935778,7.145734,0.015923,24.789404,39.383221,0.005944,6.186640,40.974537,0.010626,6.757194,
-1.000000,-1.000000,-1.000000,6.410012,0.010307,27.739635,6.252638,0.010525,24.955229,39.425705,0.006028,6.221227,40.696472,0.011381,7.392634,
-1.000000,-1.000000,-1.000000,6.327726,0.008156,26.876484,6.418307,0.010544,24.976639,39.332764,0.004913,6.492019,39.852131,0.008929,7.128095,
-1.000000,-1.000000,-1.000000,6.464618,0.010632,27.499842,6.638712,0.010460,25.205940,39.346115,0.007357,8.327555,40.015430,0.007920,6.823990,
-1.000000,-1.000000,-1.000000,6.478223,0.010304,27.847387,6.415372,0.008086,24.237446,39.364357,0.005966,8.334754,40.245628,0.009773,7.780069,
-1.000000,-1.000000,-1.000000,6.327515,0.008935,27.084091,6.275714,0.009254,27.427399,39.274284,0.006354,8.001610,40.468845,0.012586,7.786945,
-1.000000,-1.000000,-1.000000,6.492786,0.009692,27.744402,6.191269,0.008256,25.595581,39.325401,0.008999,8.080319,40.176716,0.009718,7.219156,
-1.000000,-1.000000,-1.000000,6.263687,0.010873,28.278481,6.540396,0.009556,25.448429,39.165913,0.007737,8.422836,40.952763,0.013123,6.736979,
-1.000000,-1.000000,-1.000000,6.487020,0.009065,27.665298,6.603135,0.012799,25.168327,38.990269,0.011200,8.415141,40.260529,0.010542,7.441117,
-1.000000,-1.000000,-1.000000,6.645028,0.010196,27.381985,6.562778,0.010340,24.350836,39.474644,0.006287,8.214156,40.194420,0.010059,7.169613,
-1.000000,-1.000000,-1.000000,6.657343,0.010395,28.882227,6.620395,0.023526,25.315346,40.452534,0.009660,9.369500,40.147831,0.010760,6.861634,
-1.000000,-1.000000,-1.000000,6.613861,0.013791,28.472589,6.466696,0.008973,24.431902,40.462444,0.010241,10.043961,39.952862,0.011185,7.497620,
-1.000000,-1.000000,-1.000000,6.560537,0.010965,27.693468,6.445235,0.009276,25.035934,40.835487,0.008910,9.485926,40.271332,0.011878,7.169963,

Multi run computation test (with deallocation), execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
-1.000000,-1.000000,-1.000000,6.619768,0.010510,41.757332,6.365860,0.009565,23.906693,39.233898,0.009282,6.250247,39.826672,0.010436,5.645833,
-1.000000,-1.000000,-1.000000,6.673107,0.010192,41.771275,6.376245,0.009147,24.532421,39.011307,0.009415,6.240600,39.692253,0.011014,5.537496,
-1.000000,-1.000000,-1.000000,6.652227,0.009142,34.201538,6.371709,0.011817,22.632648,39.223270,0.009971,6.231032,39.837830,0.011917,5.534755,
