Performing comparisons between CPU Cuda and Tensor implementation,

Matrixes size,256,256,
Single run computation test,
Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,mean of error (to CPU),deviation of error (to CPU),
MMA CPU,0.343441,10.173816,0.203853,
MMA CUDA,47.207155,0.016254,0.217048,False,0.000000,0.000000,
MMA CUDA Shared,0.250804,0.005398,0.431573,False,0.000000,0.000000,
MMA Tensor,0.798274,0.004653,0.355822,False,0.060634,0.049874,

Multi run computation  test, execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,
0.285433,1.099550,0.021282,0.241533,0.010564,0.248153,0.221591,0.004444,0.238466,0.782354,0.005735,0.209694,
0.050807,0.892475,0.015937,0.126026,0.002997,0.166280,0.131465,0.002573,0.465541,0.642267,0.001980,0.173561,
0.049933,0.836963,0.015854,0.125515,0.003037,0.165119,0.127230,0.002260,0.157764,0.644480,0.001928,0.090463,
0.049853,1.005673,0.015958,0.125081,0.003026,0.171638,0.128371,0.001837,0.157856,0.625533,0.001669,0.091247,
0.049655,1.422682,0.015566,0.125575,0.002961,0.165143,0.126430,0.001938,0.156462,0.640946,0.001698,0.089448,
0.049549,0.918063,0.017927,0.125147,0.002875,0.165470,0.125719,0.001725,0.157144,0.648064,0.003722,0.100944,
0.053411,0.893232,0.015590,0.126298,0.003004,0.164587,0.123752,0.001608,0.157825,0.639032,0.001847,0.090381,
0.049901,0.826277,0.015810,0.126423,0.003024,0.164415,0.125311,0.001709,0.156100,0.626740,0.001752,0.090298,
0.049770,0.825635,0.015843,0.125941,0.002735,0.164000,0.124251,0.001828,0.155977,0.624975,0.001690,0.091443,
0.052088,0.825612,0.015745,0.126243,0.002698,0.164039,0.126031,0.001622,0.155036,0.636591,0.002939,0.093729,
0.049698,0.825932,0.016032,0.126192,0.002613,0.163680,0.123569,0.001616,0.156586,0.712828,0.003413,0.092459,
0.049783,0.826535,0.015801,0.126509,0.002741,0.165018,0.123705,0.001646,0.156407,0.650297,0.002271,0.307877,
0.049968,0.825939,0.015848,0.125502,0.002829,0.164345,0.123839,0.001642,0.156494,0.629538,0.001701,0.170789,
0.049873,0.827840,0.015732,0.126518,0.002834,0.165509,0.123275,0.002213,0.155743,0.641095,0.003305,0.167522,
0.049683,0.825944,0.015909,0.124954,0.002765,0.163707,0.123344,0.001682,0.157330,0.621637,0.001996,0.096228,
0.049805,1.038320,0.015829,0.126018,0.002714,0.164204,0.123162,0.001570,0.156804,0.636494,0.001991,0.102960,
0.049979,0.826143,0.015930,0.125755,0.002665,0.165319,0.122900,0.001597,0.156916,0.627889,0.001815,0.097176,
0.049695,0.827735,0.015793,0.126822,0.003395,0.165148,0.122107,0.001578,0.156562,0.621564,0.001767,0.097232,
0.049744,0.825589,0.015822,0.128107,0.002630,0.163530,0.133843,0.003342,0.160120,0.621227,0.001640,0.096149,
0.050038,0.825585,0.015897,0.128233,0.002792,0.165732,0.128681,0.001883,0.160002,0.628153,0.001968,0.097455,
0.049771,0.825782,0.015953,0.126992,0.002671,0.164085,0.125543,0.001817,0.166421,0.656495,0.003023,0.096084,
0.049745,1.216545,0.015615,0.127341,0.002785,0.164401,0.141126,0.002057,0.157158,0.631789,0.002277,0.097259,
0.049303,0.831854,0.016168,0.128748,0.002658,0.165633,0.129429,0.001875,0.156875,0.678508,0.004459,0.257211,
0.049974,1.002216,0.015770,0.126581,0.002825,0.164710,0.146337,0.001628,0.181266,0.760843,0.005887,0.092862,
0.049453,0.827523,0.015969,0.124699,0.002758,0.516989,0.145838,0.002969,0.197075,0.750764,0.005300,0.099237,
0.049686,0.825419,0.015798,0.126591,0.002749,0.437391,0.179882,0.002849,0.474938,0.634009,0.003367,0.090785,
0.049809,0.820943,0.015971,0.126697,0.003082,0.164220,0.141582,0.002032,0.238731,0.667923,0.002116,0.089587,
0.049722,0.819433,0.015938,0.125744,0.002701,0.163845,0.130306,0.001930,0.157099,0.636321,0.001751,0.090564,
0.049909,0.819731,0.015838,0.125855,0.002770,0.162940,0.131573,0.001676,0.169409,0.622057,0.001858,0.090549,
0.049740,0.819634,0.015987,0.125053,0.002854,0.163754,0.141273,0.003972,0.159189,0.620344,0.001665,0.089692,
0.049846,0.821659,0.015889,0.125413,0.002741,0.163432,0.139363,0.003069,0.159927,0.651906,0.002404,0.097345,
0.049688,0.819862,0.015746,0.124642,0.002902,0.163827,0.130713,0.002178,0.168583,0.651650,0.002896,0.093604,
0.049798,0.819021,0.015745,0.124405,0.002994,0.164010,0.127827,0.002726,0.168979,0.630978,0.002107,0.322172,
0.049769,0.934508,0.015871,0.127210,0.002920,0.166703,0.125961,0.001697,0.363686,0.639953,0.001722,0.097230,
