MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA CUDA Shared Half Rect Tiling 32*64 Loading,MMA CUDA Shared Half Rect Tiling 32*64 Computing,MMA CUDA Shared Half Rect Tiling 32*64 Outputing,MMA CUDA Shared Half Rect Tiling 32*96 Loading,MMA CUDA Shared Half Rect Tiling 32*96 Computing,MMA CUDA Shared Half Rect Tiling 32*96 Outputing,MMA CUDA Shared 16 Tile Loading,MMA CUDA Shared 16 Tile Computing,MMA CUDA Shared 16 Tile Outputing,MMA CUDA Shared Halfs 32 Tile Loading,MMA CUDA Shared Halfs 32 Tile Computing,MMA CUDA Shared Halfs 32 Tile Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Cublas Loading,MMA Cublas Computing,MMA Cublas Outputing,
0.001854,0.025885,0.000300,0.246034,0.038336,0.026565,0.242792,0.036288,0.025345,0.294062,0.009824,0.026268,0.380397,0.008832,0.025665,0.240303,0.035648,0.026133,0.296005,0.036064,0.026146,0.296196,0.008192,0.025276,0.281407,0.006528,0.025310,
0.000519,0.025733,0.000177,0.035522,0.014848,0.014330,0.030978,0.012576,0.013841,0.064266,0.004544,0.014756,0.064617,0.004096,0.014591,0.031462,0.010848,0.015736,0.064869,0.014304,0.015854,0.063787,0.004064,0.014276,0.055125,0.003520,0.014021,
0.000488,0.029367,0.000169,0.243173,0.010176,0.013118,0.030086,0.010816,0.012964,0.051255,0.003008,0.013758,0.052656,0.003680,0.013451,0.031657,0.010208,0.013348,0.049589,0.012288,0.013951,0.053460,0.003776,0.013743,0.044392,0.003264,0.013037,
0.000600,0.025513,0.000175,0.033535,0.012640,0.013025,0.029849,0.010496,0.013637,0.045932,0.003008,0.013560,0.048734,0.004096,0.013860,0.029782,0.008800,0.013293,0.046636,0.011488,0.014196,0.049010,0.002784,0.013223,0.038852,0.002496,0.013238,
0.000521,0.025701,0.000190,0.033019,0.013856,0.012838,0.030238,0.010816,0.012846,0.045297,0.002368,0.013540,0.045055,0.002304,0.013628,0.028985,0.009792,0.013242,0.045954,0.011328,0.013528,0.045650,0.004096,0.013122,0.037897,0.003264,0.013255,
0.000526,0.025749,0.000184,0.033125,0.013248,0.013222,0.029943,0.010784,0.012962,0.045028,0.003488,0.013840,0.045943,0.004064,0.013459,0.029806,0.009088,0.013116,0.044589,0.010240,0.013978,0.044696,0.003936,0.014196,0.038180,0.002656,0.013409,
0.000486,0.025500,0.000205,0.032990,0.012544,0.013222,0.029246,0.010880,0.013024,0.045300,0.003008,0.013481,0.044434,0.003616,0.014130,0.029541,0.008960,0.013011,0.044373,0.010240,0.013488,0.045102,0.003392,0.012968,0.036437,0.003264,0.012636,
0.000499,0.025563,0.000188,0.235726,0.013056,0.013422,0.030435,0.010240,0.013122,0.043708,0.003360,0.013911,0.044435,0.004032,0.013541,0.031329,0.008384,0.013790,0.043357,0.010240,0.013558,0.077146,0.003904,0.014107,0.037293,0.002112,0.012874,
0.000493,0.025743,0.000176,0.034169,0.008640,0.006020,0.030400,0.011680,0.012756,0.044151,0.003200,0.013663,0.686991,0.004064,0.013813,0.030574,0.010080,0.013467,0.043365,0.010240,0.013777,0.044968,0.003072,0.012878,0.036456,0.002464,0.012916,
0.000507,0.025629,0.000180,0.843276,0.010240,0.006565,0.029621,0.010240,0.013379,0.045141,0.004032,0.013122,0.216724,0.004032,0.012975,0.030412,0.008192,0.012962,0.043458,0.012288,0.013570,0.043811,0.002336,0.013178,0.036961,0.002048,0.013136,
